"time","cohort","age","catatrans","obs_proportion","mx","my","catatransT","OD_proportion","OC_proportion","SD_proportion","SC_proportion","sqdif_OD","sqdif_OC","sqdif_SD","sqdif_SC"
2003,1983,20,"pI",0.276253547776727,"I","I","pI03",0.267203343958705,0.279699566704306,0.269612326027859,0.234504722501485,8.19061891477293e-05,1.18750464492343e-05,4.41058263176299e-05,0.00174296441186263
2004,1983,21,"pI",0.260170293282876,"I","I","pI04",0.260370878399135,0.283971631717546,0.261397701657796,0.233729587250851,4.02343888646054e-08,0.000566503711281701,1.50653131882382e-06,0.000699110935471985
2005,1983,22,"pI",0.275307473982971,"I","I","pI05",0.255257684066262,0.283531722658378,0.255225434405954,0.23556659185671,0.000401994075704156,6.76382662749465e-05,0.000403288313572881,0.00157933771217334
2006,1983,23,"pI",0.242194891201514,"I","I","pI06",0.251826289398498,0.278572001939928,0.250874430846462,0.242461144556187,9.27638312288709e-05,0.00132329418567489,7.53344084482211e-05,7.08908488748519e-08
2007,1983,24,"pI",0.236518448438978,"I","I","pI07",0.249645219091355,0.269540556216614,0.247887677713179,0.258554292565811,0.000172312107760099,0.0010904596020778,0.000129259374289338,0.000485578426382049
2008,1983,25,"pI",0.235572374645222,"I","I","pI08",0.248300674528558,0.257070709390191,0.245861751750653,0.290745678240139,0.000162009617920128,0.000462178396806711,0.000105871281217755,0.00304409342957688
2009,1983,26,"pI",0.252601702932829,"I","I","pI09",0.247486968555043,0.241903007432181,0.24449464019804,0.350393903980015,2.6160507755304e-05,0.000114462085415581,6.57244661858019e-05,0.00956331458565331
2010,1983,27,"pI",0.241248817407758,"I","I","pI10",0.247000186311104,0.224812376328922,0.243573677710585,0.456028322916079,3.30782442623775e-05,0.000270156595338036,5.40497542766136e-06,0.0461302359863992
2000,1984,16,"pI",0.234615384615385,"I","I","pI00",0.234615384615385,0.234615384615385,0.234615384615385,0.234615384615385,0,0,0,0
2001,1984,17,"pI",0.255769230769231,"I","I","pI01",0.266724798076923,0.259951736871302,0.269968334754068,0.236668086538462,0.000120024455033379,1.74933572938611e-05,0.000201614553972221,0.000364853710924647
2002,1984,18,"pI",0.285576923076923,"I","I","pI02",0.273611068811058,0.280803295162263,0.273741544484146,0.240917032538365,0.000143181668311927,2.27875234676251e-05,0.000140076186434376,0.00199450582291594
2003,1984,19,"pI",0.304807692307692,"I","I","pI03",0.271209616701005,0.295565618822078,0.270016005349476,0.248815247279737,0.00112883068447269,8.54159223134875e-05,0.0012104614813985,0.00313515390020855
